Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,GTIN,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Stuff We Like,New Quantity Stuff We Like,Stock Alert Enabled Stuff We Like,Stock Alert Count Stuff We Like
HJ2UO7R34E4IIDIFKLLPQCAK,Ahoy,,Regular,LED05000,"You are swashbucklers and soldiers on the high seas. Each round, you’ll roll and place dice to take the unique actions of your faction. As you control regions and deliver cargo, you’ll gain Fame. The player with the most Fame wins!",Board Game,Board Game,672975032166,Physical good,,,,40.00,,N,,N,,N,,,3,,,
SQAKTLNXSG7ITQSICRKAECZ3,Root,,Regular,LED01000,"Root is a game of woodland might and right. Stalk the woods as one of the Vagabonds, seize the initiative with the Eyrie birds of prey, rule over your subjects as the Marquise de Cat, or command the Woodland Alliance to create a new order. With creatures and cunning, you'll rule a fantastic forest kingdom in the ultimate asymmetric board game of adventure and war.",Board Game,Board Game,602573655900,Physical good,,,,60.00,,N,,N,,N,,,5,,,
BGY5F26PFIHEWNSMFLXO2MPY,Root: Landmarks Pack,,Regular,LED01024,"The Landmarks Pack brings the Woodland to life! Each landmark offers players new strategic challenges and tactical possibilities. They work with each of Root's four maps! Includes the Black Market, the Lost City, the Legendary Forge, and the Elder Treetop.",Microexpansion,Microexpansion,672975032890,Physical good,,,,10.00,,N,,N,,N,,,5,,,
HHDOOREPCMXIPUQTVNFXDQEY,Root: Riverfolk Expansion,,Regular,LED01001,"The Riverfolk Expansion adds two new factions (The Riverfolk and The Lizard Cultists), new vagabonds, and exciting new game modes.",Expansion,Expansion,602573655917,Physical good,,,,40.00,,N,,N,,N,,,3,,,
Z64YKTE44DCUMEGEQG5K7PM6,Root: The Marauder Expansion,,Regular,LED01018,The Marauder Expansion adds two new factions (Lord of the Hundreds and Keepers in Iron) and adds hirelings.,Expansion,Expansion,672975032937,Physical good,,,,50.00,,N,,N,,N,,,3,,,
N74CDMENQJMQNLLESI4A4EC7,Root: The Underworld Expansion,,Regular,LED01003,The Underworld Expansion adds two new factions (The Underground Duchy and The Corvid Conspiracy) and two new maps.,Expansion,Expansion,672975032067,Physical good,,,,50.00,,N,,N,,N,,,3,,,
PCVLG26ET4ZA7S2CKZTMYT3T,Root: The Vagabond Pack,,Regular,LED01005,"The Vagabonds Pack upgrades your Root board game with seven custom Vagabond meeples. Includes three new Vagabond character cards: Dash and slash with the Ronin, Quest more with the Adventurer, and Fly free with the Harrier.",Microexpansion,Microexpansion,672975032036,Physical good,,,,10.00,,N,,N,,N,,,5,,,
